,bandwidth,delay,buffer_size,algorithm,bytes_sent,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
0,10,5,100,bbr,3330400,10.000088,2664296.554190323,11,0.0710098921889019,0.23264381448589536
1,10,5,100,cubic,9510464,10.000143,7608262.401847654,19,0.08695678206019916,0.711297888568686
2,10,5,1000,bbr,1307544,10.001038,1045926.6328155138,0,0.0671120180003093,0.09614285905610737
3,10,5,1000,cubic,13224584,10.000827,10578792.333873989,0,0.08547380386565905,1.0058660317855415
4,10,5,10000,bbr,1307544,10.001044,1045926.005325044,0,0.0682275523570135,0.09770714779240895
5,10,5,10000,cubic,13349112,10.000767,10678470.561307948,0,0.0888632567495565,0.9854025720873618
6,10,5,20000,cubic,14548992,10.000095,11639083.028711228,0,0.0871331168908924,1.0349763377363093
7,10,5,20000,bbr,1180120,10.00104,943997.8242262804,0,0.0680185091763624,0.08558259524255336
8,10,5,50000,bbr,1307544,10.001037,1045926.7373973319,0,0.06748955229003505,0.094441471919896
9,10,5,50000,cubic,13349112,10.000755,10678483.374505226,0,0.08602122641862432,0.9377720196284665
10,10,10,100,bbr,3486784,10.000332,2789334.594091476,8,0.12316907006356233,0.2582872747314753
11,10,10,100,cubic,9287472,10.000158,7429860.20820871,8,0.137908877963689,0.6993652783479958
12,10,10,1000,bbr,1531984,10.001035,1225460.3648522377,0,0.1161910332746702,0.11817833240644446
13,10,10,1000,cubic,13457712,10.000467,10765666.843358414,0,0.1330284904841508,0.950252116632736
14,10,10,10000,bbr,1618864,10.001032,1294957.5603797687,0,0.11548423864697921,0.11453221420701808
15,10,10,10000,cubic,13457712,10.000423,10765714.210288905,0,0.132500876617036,0.8989158076194776
16,10,10,20000,bbr,1727464,10.000868,1381851.255311039,0,0.11514554813533023,0.11818543963375643
17,10,10,20000,cubic,13457712,10.000424,10765713.133763127,0,0.1354969289620055,0.8970975650806993
18,10,10,50000,bbr,1618864,10.001031,1294957.6898621754,0,0.1160613469111002,0.11343442607355543
19,10,10,50000,cubic,13457712,10.000423,10765714.210288905,0,0.13280006166464056,0.9110443218696016
20,10,25,100,bbr,5579144,10.0005,4463092.04539773,0,0.2733366132671011,0.4258430249280897
21,10,25,100,cubic,7332672,10.000173,5866036.117575166,9,0.2778635197906975,0.5737711328984987
22,10,25,1000,cubic,12284832,10.000785,9827094.17310741,0,0.28123277560614024,0.8175085137291325
23,10,25,1000,bbr,2379064,10.001033,1903054.6144583265,0,0.2659933303194484,0.1526488707421474
24,10,25,10000,bbr,2379064,10.001032,1903054.80474415,0,0.26523886098246774,0.16152777985442596
25,10,25,10000,cubic,13273816,10.000105,10618941.301116338,0,0.280192016269827,0.840046234822355
26,10,25,20000,bbr,2221232,10.001023,1776803.8329678874,0,0.266193021072517,0.15731475024081412
27,10,25,20000,cubic,13273816,10.000103,10618943.424882725,0,0.28174672276389773,0.847781437510313
28,10,25,50000,bbr,2247296,10.001051,1797647.8672091563,0,0.266749710018081,0.14950177186932453
29,10,25,50000,cubic,12383296,10.000754,9905889.89590185,0,0.27992612516136733,0.8378960692615025
30,10,50,100,bbr,8821216,10.000105,7056898.702563623,32,0.520609922593202,0.5988232213697466
31,10,50,100,cubic,4594504,10.000523,3675410.976005955,54,0.5162392167137297,0.3244036298429604
32,10,50,1000,bbr,3423072,10.000242,2738391.3309297916,0,0.5180764184523843,0.2026859617345846
33,10,50,1000,cubic,12148720,10.000483,9718506.59613141,0,0.5253891189504214,0.803045743506221
34,10,50,10000,cubic,12426736,10.00053,9940861.93431748,0,0.5211650651402422,0.834613366679032
35,10,50,10000,bbr,2946680,10.000873,2357138.2218332337,0,0.504958180225482,0.18254614163190275
36,10,50,20000,cubic,12426736,10.000632,9940760.543933624,0,0.5202863653018004,0.8366384515368147
37,10,50,20000,bbr,2830840,10.000508,2264556.960506406,0,0.5098331546912775,0.18816540251541636
38,10,50,50000,cubic,12426736,10.000537,9940854.976087784,0,0.5230337447038202,0.8997931218838634
39,10,50,50000,bbr,2946680,10.000546,2357215.296044836,0,0.5100522020334455,0.20974063564670264
40,10,75,100,bbr,10700720,10.000171,8560429.616653556,110,0.760537210879527,0.6540189789294526
41,10,75,100,cubic,3165328,10.00103,2532001.603834805,75,0.7525231558839148,0.2093179331052717
42,10,75,1000,cubic,12189696,10.000945,9750835.3460598,0,0.7621810075801736,0.8676895048689995
43,10,75,1000,bbr,3272480,10.000336,2617896.0386931,0,0.7506605405105308,0.193457759320575
44,10,75,10000,cubic,11653504,10.000079,9322729.55043655,0,0.7669301296544602,0.6953079457540765
45,10,75,10000,bbr,4800120,10.000942,3839734.29702922,0,0.751902685606595,0.264338067263001
46,10,75,20000,bbr,4445360,10.001043,3555917.117844609,0,0.7531761333891587,0.2924428689051663
47,10,75,20000,cubic,11355216,10.000216,9083976.58610574,0,0.7625505908801248,0.7505939378477925
48,10,75,50000,bbr,4814600,10.001026,3851284.8581735515,0,0.7500910413028573,0.31884761612106
49,10,75,50000,cubic,11096024,10.000379,8876482.78130259,0,0.7622335036417424,0.7338882028864112
50,10,100,100,cubic,4374408,10.000551,3499333.586719372,170,0.986119177928649,0.23968588264730162
51,10,100,100,bbr,10570400,10.000281,8456082.384085007,195,0.98893384688508,0.5717092049584838
52,10,100,1000,bbr,4177480,10.001039,3341636.8039360708,0,0.9819707528301457,0.28048427244917423
53,10,100,1000,cubic,12189696,10.000083,9751675.86109035,0,0.9929995211367507,0.8018975315266996
54,10,100,10000,bbr,4180376,10.001062,3343945.672969531,0,0.992185654792065,0.24439067324352032
55,10,100,10000,cubic,12189696,10.000078,9751680.73689025,0,0.9954499348143485,0.7171732553280874
56,10,100,20000,cubic,12189696,10.000091,9751668.059820656,0,0.9963646388891932,0.7867416227754643
57,10,100,20000,bbr,4177480,10.001037,3341637.4721941333,0,0.9850855903886004,0.2744720989767759
58,10,100,50000,bbr,4474320,10.001038,3579084.491029831,0,0.9850665067198796,0.28771887360784915
59,10,100,50000,cubic,11877944,10.000299,9502071.088074466,0,0.9958807154244322,0.8785116384979084
60,10,150,100,cubic,2623776,10.001068,2098796.6485179383,304,1.4338409360563928,0.10237720156358977
61,10,150,100,bbr,12582912,10.001002,10065321.054830307,336,1.4505812651328152,0.5662260637032525
62,10,150,1000,cubic,9261408,10.000675,7408626.317723555,0,1.4467727615754176,0.647530898963008
63,10,150,1000,bbr,7247240,10.001048,5797184.455069108,0,1.4468517357939645,0.42900218951519326
64,10,150,10000,cubic,9261408,10.000645,7408648.54216903,0,1.446468181708015,0.65461471085109
65,10,150,10000,bbr,7383352,10.001028,5906074.45554597,0,1.441637367777761,0.46059240711308364
66,10,150,20000,bbr,7276200,10.001037,5820356.429038309,0,1.442038720596346,0.45392064271498445
67,10,150,20000,cubic,9290368,10.000704,7431771.203307287,0,1.4762910119347057,0.6964742664702113
68,10,150,50000,bbr,7703360,10.000458,6162405.761816109,0,1.4436548257817639,0.4360674575594408
69,10,150,50000,cubic,9274440,10.000699,7419033.409564672,0,1.4528288667380371,0.6563643131096563
70,10,200,100,bbr,11272192,10.000086,9017676.04798599,374,1.8820620602737137,0.516163269850678
71,10,200,100,cubic,4904376,10.000118,3923454.5032368614,100,1.8806822941276926,0.28500175337524736
72,10,200,1000,cubic,7930696,10.000478,6344253.544680565,0,1.879167510457765,0.5426210858632345
73,10,200,1000,bbr,8519680,10.001037,6815037.280633998,0,1.8803366122196983,0.5592450549705972
74,10,200,10000,bbr,9306112,10.001051,7444107.224330722,0,1.8796194944400848,0.5334790649274712
75,10,200,10000,cubic,8443288,10.000114,6754553.398091262,0,1.9092052046358596,0.5420898178808333
76,10,200,20000,cubic,8414328,10.000099,6731395.759181984,0,1.8830740943930693,0.557298839108028
77,10,200,20000,bbr,9437184,10.000772,7549164.404507972,0,1.8777099042470418,0.5876279771667426
78,10,200,50000,cubic,8292696,10.000201,6634023.45612853,0,1.886638938610439,0.5379762020676556
79,10,200,50000,bbr,9306112,10.00106,7444100.525344313,0,1.8820197289411023,0.5716378021642204
80,20,5,100,bbr,6252464,10.000405,5001768.62837055,28,0.08050830798239673,0.5057378888639098
81,20,5,100,cubic,18564808,10.00009,14851712.734585388,50,0.10240327371151695,1.47095999510138
82,20,5,1000,cubic,22413312,10.00051,17929735.18350564,30,0.0962700062353987,1.6640653325862171
83,20,5,1000,bbr,5471992,10.001049,4377134.43859739,0,0.5443406773445055,0.3818983738489582
84,20,5,10000,cubic,25559040,10.00044,20446332.3613761,0,0.12342212462072319,1.96795421377465
85,20,5,10000,bbr,1310440,10.001039,1048243.0875432042,0,0.0694841955882325,0.09826665702008723
86,20,5,20000,cubic,25296896,10.000493,20236519.139606416,0,0.0986658753173862,1.9030229608243854
87,20,5,20000,bbr,1505920,10.001034,1204611.4431767755,0,0.0688368380353713,0.0994553017217183
88,20,5,50000,cubic,25559040,10.000307,20446604.28924832,0,0.18081150839306664,2.0607817627957825
89,20,5,50000,bbr,1831720,10.001032,1465224.7888017956,0,0.0680390214114879,0.12425513797556904
90,20,10,100,bbr,8113144,10.000086,6490459.382049315,16,0.13307143960451828,0.700995135889125
91,20,10,100,cubic,17076264,10.000164,13660787.163090525,55,0.151871888244598,1.4775528761100938
92,20,10,1000,bbr,2380512,10.001057,1904208.3251800286,2,0.11871998703062313,0.1612363702519478
93,20,10,1000,cubic,25690112,10.00011,20551863.529501177,33,0.20485795187461459,1.9003056443103936
94,20,10,10000,bbr,2374720,10.001046,1899577.304213979,0,0.12004063158798271,0.16846377871617438
95,20,10,10000,cubic,25690112,10.000085,20551914.908723276,0,0.15297768204901857,2.043252941351826
96,20,10,20000,cubic,24903680,10.000532,19921884.155762915,0,0.2517381122977638,1.9059122899342533
97,20,10,20000,bbr,1727464,10.001041,1381827.3517726804,0,0.11731496603781025,0.1373707814880611
98,20,10,50000,bbr,2374720,10.000139,1899749.5934806506,0,0.12041135250699803,0.17313159887417312
99,20,10,50000,cubic,25034752,10.000319,20027162.7335088,0,0.16867954133664545,1.9717679609161078
100,20,25,100,bbr,18049320,10.000093,14439321.714308057,38,0.30028091753525527,1.5087486556885537
101,20,25,100,cubic,7426792,10.000285,5941264.273968192,57,0.2811144395233221,0.6047026310724748
102,20,25,1000,bbr,3078448,10.000458,2462645.610831024,1,0.2693559363979459,0.17252817480433735
103,20,25,1000,cubic,25690112,10.000083,20551919.01907214,32,0.299912397266763,1.73796212943681
104,20,25,10000,bbr,3599728,10.000172,2879732.86859466,0,0.2683831467144373,0.2504065688296945
105,20,25,10000,cubic,24379392,10.000135,19503250.30612087,0,0.285637322273603,1.8872273267079194
106,20,25,20000,bbr,3496920,10.001049,2797242.569254485,0,0.2724870618383993,0.2184551188544113
107,20,25,20000,cubic,24248320,10.000313,19398048.841071274,0,0.3135844490305986,1.8579921837187294
108,20,25,50000,bbr,3441896,10.001035,2753231.840504508,0,0.2694880973368241,0.2154482221315372
109,20,25,50000,cubic,24248320,10.000351,19397975.1310729,0,0.3948763191417159,1.8565103685631597
110,20,50,100,cubic,7047416,10.000087,5637883.75041137,242,0.5429625461310855,0.4267980420724179
111,20,50,100,bbr,19815880,10.00039,15852085.768655023,195,0.531726466739528,1.273840843541893
112,20,50,1000,cubic,23461888,10.000328,18768894.78025121,33,0.540305773684189,1.7358675161437358
113,20,50,1000,bbr,4917408,10.001042,3933516.5275778263,2,0.5156436744409515,0.306467931532414
114,20,50,10000,cubic,23330816,10.000285,18664120.872555133,0,0.539332750193193,1.6439835829950387
115,20,50,10000,bbr,4829080,10.001067,3862851.833709343,0,0.5136915645339056,0.28606218821471147
116,20,50,20000,cubic,23592960,10.000156,18874073.5644524,0,0.6124109522736436,1.6996514405198737
117,20,50,20000,bbr,4934784,10.001038,3947417.458067853,0,0.523770500720835,0.3034452157906324
118,20,50,50000,cubic,23461888,10.000213,18769110.61794384,0,0.537144190250085,1.7553108453591364
119,20,50,50000,bbr,4902928,10.001065,3921924.71501785,0,0.5131114933936037,0.30853625827045683
120,20,75,100,bbr,23724032,10.000288,18978679.0140444,626,0.7763482661461573,1.347679476255782
121,20,75,100,cubic,4370064,10.000204,3495979.882010407,239,0.762042838110469,0.22708210929338013
122,20,75,1000,bbr,5516880,10.001042,4413044.160798444,0,0.7532440710332714,0.3042494419632154
123,20,75,1000,cubic,22806528,10.000573,18244177.008657407,39,0.777451037201545,1.5735419458534925
124,20,75,10000,bbr,5516880,10.001076,4413029.158062593,0,0.7536530592873223,0.311733678967373
125,20,75,10000,cubic,23461888,10.000171,18769189.44686046,0,0.768103355474991,1.6506932611118046
126,20,75,20000,bbr,5815168,10.000428,4651935.29716928,0,0.754971754560026,0.2937492772749506
127,20,75,20000,cubic,23068672,10.000337,18454315.689561263,0,0.8191471869430315,1.6518164767354853
128,20,75,50000,cubic,23330816,10.000345,18664008.89169324,0,0.7815630815172614,1.674083126349089
129,20,75,50000,bbr,4438120,10.001032,3550129.6266225325,0,0.7505917244188017,0.2909831904115094
130,20,100,100,cubic,8606912,10.001067,6884794.992374313,335,0.993649523757532,0.5661297026298643
131,20,100,100,bbr,19922944,10.000158,15938103.377966627,292,1.0051527983560415,1.252093886420341
132,20,100,1000,cubic,21364736,10.000284,17091303.40698324,34,1.0937481074402904,1.4308146739613359
133,20,100,1000,bbr,7703360,10.00104,6162047.147096702,2,0.988511724500551,0.453985200857839
134,20,100,10000,bbr,13238272,10.000582,10590001.261926556,0,0.9969260501508423,0.8544716418344404
135,20,100,10000,cubic,16515072,10.000453,13211459.120901823,0,1.0090557617158964,1.299808905636184
136,20,100,20000,bbr,13238272,10.000679,10589898.545888735,0,0.9939689718028426,0.7745615385330094
137,20,100,20000,cubic,16777216,10.000279,13421398.34298623,0,1.02405821707143,1.2020431572670736
138,20,100,50000,cubic,21495808,10.000187,17196324.8287257,0,1.0913893549043259,1.665580108642007
139,20,100,50000,bbr,7305160,10.001034,5843523.779641185,0,0.986847797039649,0.4441786916863818
140,20,150,100,cubic,6466768,10.001035,5172879.007022773,238,1.444181529571134,0.3318576782981559
141,20,150,100,bbr,21102592,10.000304,16881560.400563825,541,1.4556994380289758,1.393878918336113
142,20,150,1000,cubic,17432576,10.000435,13945454.172743486,28,1.4542326378027495,1.1981492637413877
143,20,150,1000,bbr,11272192,10.001035,9016820.359092833,8,1.4444171159830381,0.707622061436151
144,20,150,10000,cubic,20447232,10.000501,16356966.115997588,0,1.4600188104170064,1.6348069712917235
145,20,150,10000,bbr,8257536,10.000537,6605674.075302157,0,1.4394791069202428,0.41695715548917334
146,20,150,20000,cubic,12582912,10.000365,10065962.192379978,0,1.4546688377841588,0.8758834273008815
147,20,150,20000,bbr,16908288,10.001103,13525138.577214932,0,1.4519569705166013,1.090494554989289
148,20,150,50000,cubic,20578304,10.000447,16461907.352741333,0,1.461233562525359,1.6365033421001727
149,20,150,50000,bbr,8126464,10.000899,6500586.797246927,0,1.441218241862011,0.42049811960769856
150,20,200,100,bbr,20709376,10.000317,16566975.626872627,665,1.8902631550446776,1.316169692980265
151,20,200,100,cubic,5854264,10.000529,4683163.460652932,212,1.8820857983948391,0.26871080423319915
152,20,200,1000,cubic,16908288,10.000219,13526334.173281606,68,1.902548042024727,0.8595761823927064
153,20,200,1000,bbr,12058624,10.000325,9646585.685965206,24,1.8827625019206669,0.6419003322981168
154,20,200,10000,bbr,8912896,10.001033,7129580.3143535275,0,1.88958247534786,0.556470829473863
155,20,200,10000,cubic,18743296,10.000149,14994413.38324059,0,1.8948473969279438,1.2849326840104909
