,bandwidth,delay,buffer_size,algorithm,bytes_sent,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
0,10,5,100,bbr,3108856,10.00057,2486943.044246478,4,0.0718635100205792,0.2881807768385035
1,10,5,100,cubic,9776896,10.00008,7821454.228366173,7,0.4255593928033343,0.8522142469398574
2,10,5,1000,bbr,1246728,10.001067,997275.9906517974,0,0.0932475431995578,0.10321845974560866
3,10,5,1000,cubic,14241080,10.000126,11392720.451722309,0,0.0875620655387342,0.960419855674612
4,10,5,10000,bbr,1307544,10.001037,1045926.7373973319,0,0.06561530512912925,0.08621158710698545
5,10,5,10000,cubic,13349112,10.000761,10678476.967902742,0,0.08157125291349067,0.8911578262274524
6,10,5,20000,bbr,1307544,10.001026,1045927.8877987119,0,0.0669416840049187,0.0985639532984791
7,10,5,20000,cubic,13349112,10.000804,10678431.054143246,0,0.08664968263705597,0.9404193767217484
8,10,5,50000,bbr,1503024,10.000408,1202370.1432981533,0,0.069150103321031,0.10825964989872208
9,10,5,50000,cubic,13224584,10.000782,10578839.934717106,0,0.0842748733856338,0.9537777957618763
10,10,10,100,bbr,3299992,10.000178,2639946.60895036,2,0.1229836394612462,0.2765649678686662
11,10,10,100,cubic,9407656,10.000107,7526044.271326297,7,0.13558132359798217,0.7805206578944758
12,10,10,1000,bbr,1436416,10.001037,1149013.6472847764,0,0.12171184831933493,0.10934042738332682
13,10,10,1000,cubic,13382416,10.000617,10705272.284700034,0,0.138654503627532,0.9229870973515457
14,10,10,10000,bbr,1531984,10.001026,1225461.467653419,0,0.11835943428054074,0.11580296125666524
15,10,10,10000,cubic,13457712,10.000437,10765699.138947628,0,0.13379419216690028,0.9152740042145933
16,10,10,20000,bbr,1459584,10.001032,1167546.7091796126,0,0.11691584349588031,0.12394005884065219
17,10,10,20000,cubic,13226032,10.000772,10580008.823318841,0,0.13416830439365596,0.8971026440595
18,10,10,50000,bbr,1531984,10.001036,1225460.2423188959,0,0.11842017213744228,0.142119032631831
19,10,10,50000,cubic,13457712,10.00044,10765695.909379989,0,0.13548591792929318,0.940646313390684
20,10,25,100,bbr,4859488,10.000545,3887378.537869686,4,0.28337111053898417,0.4469615229937917
21,10,25,100,cubic,8026264,10.000093,6420951.485151188,10,0.28478323775386044,0.6535759376160416
22,10,25,1000,bbr,2221232,10.001031,1776802.4116713568,0,0.2669719735851178,0.19459009818630144
23,10,25,1000,cubic,13227480,10.000168,10581806.225655409,0,0.285185650829729,0.928973829877829
24,10,25,10000,bbr,2106840,10.001035,1685297.571701329,0,0.27092794926022645,0.16329323769686083
25,10,25,10000,cubic,12950912,10.000359,10360357.663159894,0,0.2992744591607327,0.938853724550157
26,10,25,20000,bbr,2173448,10.001039,1738577.761770552,0,0.2680776991762763,0.1798411479364828
27,10,25,20000,cubic,12391984,10.000729,9912864.55217415,0,0.2956946537681988,0.889583036161319
28,10,25,50000,bbr,2416712,10.001039,1933168.7437675225,0,0.2681001770506486,0.1922460231133211
29,10,25,50000,cubic,12949464,10.00032,10359239.70432946,0,0.32701552744642687,0.958256485242309
30,10,50,100,bbr,8447632,10.000133,6758015.718390945,40,0.5254447548839328,0.6186891469994865
31,10,50,100,cubic,5036144,10.000211,4028830.1916829553,57,0.5184594521344194,0.39596630316093545
32,10,50,1000,bbr,2952472,10.000088,2361956.81478003,0,0.4999078547005866,0.19682035338264517
33,10,50,1000,cubic,12431080,10.000559,9944308.11317647,0,0.5257959027811265,0.9601627904085825
34,10,50,10000,bbr,2704864,10.001038,2163666.6114057363,0,0.509513559714103,0.2035443112938194
35,10,50,10000,cubic,12426736,10.000585,9940807.26277513,0,0.5217589048454082,0.9247329092372515
36,10,50,20000,bbr,2833736,10.001031,2266755.0975494427,0,0.509244202561453,0.22523567660996535
37,10,50,20000,cubic,12147272,10.000754,9717084.931796143,0,0.514062342250151,0.9177873036987095
38,10,50,50000,bbr,2804776,10.001069,2243580.961195248,0,0.512049748640727,0.21131702565093521
39,10,50,50000,cubic,12426736,10.000598,9940794.34049844,0,0.520821642357442,0.986586036471509
40,10,75,100,bbr,10570400,10.000256,8456103.52374979,136,0.7639875672324493,0.727523188031342
41,10,75,100,cubic,3472304,10.000287,2777763.478188176,95,0.753633801280204,0.26180857644905176
42,10,75,1000,bbr,4800120,10.001069,3839685.537616029,0,0.749932200250854,0.32332941407387467
43,10,75,1000,cubic,11355216,10.000231,9083962.960455613,0,0.7584341213618848,0.823024564014071
44,10,75,10000,bbr,3026320,10.001037,2420804.962525386,0,0.7460893717281604,0.20148277612302917
45,10,75,10000,cubic,12189696,10.000938,9750842.17100436,0,0.7609375429212784,0.8911347532759122
46,10,75,20000,bbr,2816360,10.001039,2252853.928476831,0,0.7483874449588073,0.20401896641693337
47,10,75,20000,cubic,12189696,10.000965,9750815.846270835,0,0.7617298594299935,0.9343905506314457
48,10,75,50000,bbr,4800120,10.001042,3839695.903686836,0,0.7520179963282863,0.3528015986334299
49,10,75,50000,cubic,11355216,10.000213,9083979.31124067,0,0.7605383244936984,0.8345310878749155
50,10,100,100,bbr,8514240,10.000162,6811281.6572371535,125,0.9926056417240467,0.627847128456688
51,10,100,100,cubic,5622584,10.001039,4497599.899370455,121,0.987987320830985,0.47469953921849734
52,10,100,1000,bbr,4177480,10.001055,3341631.4578811936,0,0.9886896085027153,0.2965573688657147
53,10,100,1000,cubic,12184920,10.000097,9747841.445937974,0,0.9956728393928227,0.8458207567499145
54,10,100,10000,bbr,4771160,10.000132,3816877.6172154527,0,0.9860786688312905,0.2788708559023296
55,10,100,10000,cubic,11272192,10.000591,9017220.68225768,0,0.992254617062684,0.8079307936024972
56,10,100,20000,bbr,4255672,10.001039,3404183.90529224,0,0.9827074482310708,0.2843407404250231
57,10,100,20000,cubic,11272192,10.000746,9017080.92576294,0,0.9920656093439556,0.8554955173087125
58,10,100,50000,bbr,4474320,10.001029,3579087.7118744478,0,0.9856328051573746,0.29035843708865966
59,10,100,50000,cubic,11272192,10.000776,9017053.876619175,0,0.992230571237195,0.852338555303353
