,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
374,250,50,100,bbr,1626865664,1626097408,0.0004722307545117628,60.000095,216915078.4177925,90012,0.8368134949792735,1.7131551183780174,0.9817293037121616,
364,250,25,100,bbr,1723858944,1720368800,0.0020246111273475517,60.000105,229847456.96695033,63853,0.42030592879422474,1.9405402015843454,0.9797380901088997,
394,250,75,100,bbr,1297612800,1294505208,0.0023948530717329544,60.000077,173014817.964317,58852,1.1740283862268566,1.611683787362269,0.9773920027666527,
104,100,150,100,bbr,584056832,582129872,0.0032992679726071587,60.000079,77874141.73238005,16902,0.6662973155247472,1.5713904361239834,0.971336109508587,
84,100,100,100,bbr,670040064,667354368,0.00400826181044601,60.000152,89338448.8759295,16208,0.3518166293458083,1.7405294160219014,0.9708885595622918,
114,100,200,100,bbr,539885568,538555560,0.0024634998207620174,60.000085,71984640.4217594,14469,0.4692985111371107,1.776119484546646,0.9700772290106418,
514,50,200,100,bbr,327680000,326087496,0.0048599365234375,60.000197,43690523.21611544,10385,0.4767996513886382,2.068039334120859,0.9677559392446443,
154,100,75,100,bbr,676200448,673886000,0.0034227247362012985,60.000093,90159919.98545736,17639,0.3153260778430721,1.8666884380155715,0.9667333660231591,
504,50,150,100,bbr,331743232,328181960,0.010735025334292277,60.000083,44232369.74522185,7271,0.373064840305794,2.10216187232948,0.9653969514493494,
12,1000,10,1000,bbr,6730809344,6728563824,0.000333618126028441,60.00003,897440797.146268,348588,1.4495160662797328,3.741817185439903,0.9636335434311333,
442,500,25,1000,bbr,3195404288,3194208568,0.0003741999109441015,60.00008,426053336.9955507,109916,1.0935790323452552,2.0754567018445926,0.9616585740962151,
44,1000,25,100,bbr,6051463168,6050608288,0.00014126831416913946,60.000074,806860760.605062,21718,1.15693418348059,4.201471054143183,0.9552272931111208,
134,100,50,100,bbr,673841152,670215488,0.005380591537395448,60.000119,89845308.74013767,15002,0.2692544237947856,2.025247570073573,0.9538358389061904,
554,50,75,100,bbr,335937536,332827144,0.009258840310122415,60.000081,44791610.997991815,5076,0.2478964603402229,2.2940899543335975,0.9515225809350846,
604,750,25,100,bbr,3987079168,3985687688,0.0003489973339802015,60.000071,531609926.6615868,308113,2.7281214768825257,1.942189167634261,0.9483415811524877,
484,50,100,100,bbr,329252864,327259584,0.006053948857981688,60.000259,43900192.36416963,6245,0.295366190520141,2.437886498705667,0.9429590612138374,
602,750,25,1000,bbr,4593942528,4593942248,6.094982649290993e-08,60.000083,612524823.0739948,18725,0.904927572933086,2.868883040483912,0.9422788774356802,
454,500,50,100,bbr,2826174464,2826025040,5.2871470570332066e-05,60.000082,376822746.8755793,17032,0.5923999335648596,2.9997501762438157,0.9421069747077839,
14,1000,10,100,bbr,6462242816,6460147000,0.0003243171232766008,60.000091,861631068.659546,350646,1.1600944999897405,3.2481829171768437,0.9309479141240827,
124,100,25,100,bbr,644743168,641907088,0.004398774800200752,60.000109,85965599.56249413,7512,0.22268737787896173,2.3668895743346092,0.9076852367673156,
324,250,100,100,bbr,1296564224,1296389904,0.00013444763998053983,60.000077,172875008.0104064,13083,0.4110081281309918,2.104279888902339,0.9072736453879375,
64,1000,5,100,bbr,6413746176,6411725176,0.000315104456045128,60.000088,855164902.558143,369180,1.100002369147186,2.213714503486186,0.9072588439465162,
274,20,200,100,bbr,128188416,126031024,0.016829851458652862,60.000581,17091623.29611442,1545,0.393133893968729,1.52261607222409,0.9072542971963482,
264,20,150,100,bbr,130023424,127174944,0.021907437232232863,60.000155,17336411.747602984,862,0.2986413141947146,1.5773816925908604,0.9067926382473732,
572,750,10,1000,bbr,4805492736,4803805696,0.00035106493603905844,60.000087,640731435.739418,26024,0.967989786236602,3.5097034901793953,0.9058185869989513,
534,50,50,100,bbr,321388544,318337008,0.009494849947109502,60.00014,42851705.87935295,2100,0.2029516357016478,2.5943284028188565,0.9018974930422775,
444,500,25,100,bbr,3026714624,3024805976,0.0006306005808626906,60.000075,403561445.4148599,180997,0.9852045199400585,1.7706672346062033,0.8985565767500708,
574,750,10,100,bbr,4712693760,4709811480,0.0006115992565576763,60.000077,628358361.6067693,243740,0.8719305867844904,1.7576909874681819,0.8888532001497024,
184,10,150,100,bbr,64487424,61280808,0.0497246718988186,60.000589,8598238.79395584,445,0.2988307400188073,0.8158774743097875,0.8808540735251619,
624,750,5,100,bbr,4670488576,4667869816,0.0005607036517457484,60.000091,622730865.658187,247019,0.8574255139095854,1.9478936953312491,0.8797185603192725,
372,250,50,1000,bbr,1528561664,1528561664,0.0,60.000147,203807722.53774646,8886,0.40524555014665975,2.6460047116190366,0.8792886859750708,
