,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
394,250,75,100,bbr,1305870336,1304493944,0.001054003572985672,60.00009,174115783.62632456,63293,1.0949982125534254,1.501194634306206,0.983417491074701,
374,250,50,100,bbr,1605894144,1604592720,0.0008104045991215719,60.000107,214118837.35474005,82992,0.44198520777013983,1.6023243303904076,0.9761775578743654,
84,100,100,100,bbr,665976832,663221328,0.004137537325022141,60.000077,88796796.9774439,18424,0.3818561018410088,1.597705362070578,0.9725882348070523,
104,100,150,100,bbr,583663616,582513952,0.001969737308415675,60.000079,77821713.0014112,17738,0.6808064709460615,1.4911724710406127,0.9673431776756021,
154,100,75,100,bbr,676724736,674966376,0.002598338595384224,60.000139,90229755.76773247,17378,0.30117142267436575,1.8650198916647547,0.9668179912345558,
514,50,200,100,bbr,330694656,329340544,0.004094750173404677,60.000203,44092471.620471016,7324,0.4691606365448204,2.0103359041786675,0.9651114836353981,
12,1000,10,1000,bbr,6703022080,6701175040,0.0002755533217637857,60.000079,893735100.5821176,340889,1.342559081065374,3.757521572866729,0.9596913567117777,
604,750,25,100,bbr,4042129408,4038783688,0.0008277122432988667,60.000078,538949887.09848,308353,2.8369818718444875,1.985651291211197,0.9589837735473185,
134,100,50,100,bbr,675020800,672260064,0.00408985323118932,60.000143,90002558.8272348,15272,0.26315900504783574,1.8250630546874955,0.9581750996770665,
364,250,25,100,bbr,1689780224,1687334032,0.0014476391457638458,60.000085,225303710.68640986,62463,0.40542979896377035,1.596566068306105,0.9574458741493621,
504,50,150,100,bbr,328073216,326164896,0.005816750368308031,60.000346,43742843.2162708,6476,0.36357607122172286,2.001410596826031,0.9545899597882034,
114,100,200,100,bbr,524156928,523702304,0.0008673433006689172,60.000276,69887268.918563,11790,0.4401415863438808,1.5449950256134561,0.9524601113456473,
554,50,75,100,bbr,336723968,334225912,0.007418705638441514,60.000168,44896403.35673726,4689,0.243973868660734,2.170857529914295,0.9522537365138095,
44,1000,25,100,bbr,5996806144,5995690624,0.0001860190196603427,60.000308,799570048.0737532,23824,2.80971594995257,4.133205358669442,0.9515805406451744,
454,500,50,100,bbr,2875981824,2875767240,7.461243259929587e-05,60.000074,383463770.26135,16301,0.6248473458036474,2.8520113899340513,0.9508995816586074,
484,50,100,100,bbr,334364672,332090112,0.006802632546060368,60.000237,44581780.168635,6201,0.2838980323325684,1.92584878022879,0.9472929663388254,
602,750,25,1000,bbr,4627103744,4625263944,0.00039761373459276385,60.000085,616946291.85942,18949,0.8237039836260512,2.927403786258416,0.9454204812722383,
442,500,25,1000,bbr,3165650944,3163225976,0.0007660250744309478,60.000079,422086236.786455,100468,0.633763805681572,2.229529073251282,0.934278179250121,
274,20,200,100,bbr,131334144,128754712,0.019640223946637975,60.000379,17511108.588164084,1909,0.407483384152326,1.435926208908417,0.9328597914552658,
14,1000,10,100,bbr,6498811904,6496085184,0.0004195720756776653,60.000074,866507185.1744716,330476,1.1531648159817263,3.4864192078292824,0.9283454753610332,
324,250,100,100,bbr,1321074688,1319415888,0.0012556443742868836,60.00008,176143056.87592417,11324,0.38116379856476335,1.8801678321827258,0.9191981965748234,
124,100,25,100,bbr,644743168,641643552,0.004807520504040455,60.000077,85965645.41075505,8006,0.19766026919107077,2.2012052704556875,0.9081708442480224,
444,500,25,100,bbr,3055157248,3053114728,0.00066854823964858,60.000081,407353749.8057711,192191,1.0551634444543259,1.5616626952784323,0.9079895685585613,
64,1000,5,100,bbr,6411124736,6409022216,0.0003279486964578691,60.000081,854815477.465772,356959,1.1394544157338626,2.191118811692591,0.906618998695827,
264,20,150,100,bbr,130678784,127790344,0.02210335841508902,60.000055,17423821.89482993,890,0.32392840061084444,1.3862984830677705,0.9062056919710257,
572,750,10,1000,bbr,4787011584,4785219544,0.0003743546403751506,60.000081,638267349.539078,27157,0.873543943530588,3.375836531370085,0.90206736559084,
534,50,50,100,bbr,321257472,318809056,0.007621351138565892,60.000221,42834171.8274671,2097,0.20494727891088665,2.491442825647173,0.9014531496584738,
574,750,10,100,bbr,4741136384,4738456064,0.0005653328195842088,60.000094,632150527.497507,245826,0.8776634623028386,1.6915596752740532,0.8943282464229717,
184,10,150,100,bbr,64356352,61917928,0.03788940678303208,60.001032,8580699.345304593,592,0.2936026511561021,0.7657668756485183,0.8842658119672415,
244,20,100,100,bbr,127008768,123664992,0.02632712727360681,60.000185,16934450.18544526,974,0.2420047410903236,1.539183145327395,0.8811675287872441,
372,250,50,1000,bbr,1519517696,1516657480,0.001882318322142133,60.000072,202602116.344127,8751,0.5951517477657433,2.5644596887989017,0.879324212871342,
624,750,5,100,bbr,4669177856,4666631776,0.0005452951415693513,60.000081,622556207.015787,247984,0.851476215380846,2.182491879266442,0.8791895385125155,
524,50,25,100,bbr,311667520,308752696,0.009352350864151645,60.000083,41555611.84807028,2922,0.17114809956093363,2.38035834736356,0.8705083957152512,
294,20,50,100,bbr,125505400,123735944,0.014098644361119123,60.000362,16733952.37182069,672,0.12891235295516873,1.4922048000597596,0.870476921025334,
62,1000,5,1000,bbr,6166020096,6163519904,0.0004054790547344982,60.000078,822134944.0245727,9675,1.1081281563639713,3.806186951152661,0.8687374593496239,
314,20,75,100,bbr,125042688,122238712,0.022424150063056866,60.000041,16672347.007229544,795,0.1990914667033228,1.5728484479946707,0.8668204373419689,
234,10,75,100,bbr,61460360,60351192,0.018046884203086345,60.000639,8194627.393884921,329,0.171498392350784,0.7920838408331564,0.8545235967904781,
392,250,75,1000,bbr,1469186048,1468986696,0.0001356887374960969,60.000073,195891234.73233107,3688,0.41434581507758345,2.598532257421193,0.8493600995994413,
334,250,10,100,bbr,1495924736,1492663560,0.0021800401594535834,60.000072,199456392.1189961,56144,0.3631417162233901,1.9202864752599045,0.8445587854637945,
512,50,200,1000,bbr,293863424,292298520,0.005325276547516169,60.000107,39181719.992599346,5812,0.4683057414216465,2.224428942675489,0.843175328906581,
414,500,10,100,bbr,2948202496,2945916960,0.0007752303320755346,60.000096,393093037.1844739,172019,0.5841912362270816,2.0061900587391364,0.8327964218712322,
474,500,75,100,bbr,2219311104,2217716296,0.0007186049748165456,60.000074,295907782.2470686,1863,0.708094140053754,2.4955482028792026,0.8312225542112629,
344,250,150,100,bbr,1055260672,1054544800,0.0006783840419668364,60.000086,140701221.26158285,2571,0.417960494565931,1.8301830148102216,0.8298292613490791,
194,10,200,100,bbr,60424192,57589856,0.04690730494170282,60.000839,8056446.2773595555,624,0.3558947535572083,0.6761177029321467,0.8284678086845376,
384,250,5,100,bbr,1471021056,1467969368,0.002074537266174931,60.000094,196135833.52052748,70001,0.38211981237904385,2.140990832171778,0.8275304115401343,
94,100,10,100,bbr,590216384,587434776,0.0047128613766167496,60.000082,78695410.31627257,10021,0.2042906618470155,2.136469503839278,0.8275229803495222,
144,100,5,100,bbr,590627616,588662680,0.003326861031841762,60.000101,78750216.237136,13255,0.20868085916875165,1.9742802800927957,0.8248291454782959,
614,750,50,100,bbr,3540123648,3539138728,0.0002782162709363083,60.00008,472015857.045524,1802,0.7257264502681315,2.648867379179491,0.8169692691218243,
464,500,5,100,bbr,2861694976,2858735720,0.0010340920415411877,60.000087,381558776.87310684,237015,0.5508879193854188,2.087847247382077,0.8061555849608043,
102,100,150,1000,bbr,556138496,555116472,0.001837714898988039,60.000116,74151656.1067982,4664,0.405357547197739,2.39061629762903,0.8058882859788433,
494,50,10,100,bbr,288847040,287622032,0.004241026669340285,60.000146,38512844.952077284,2408,0.14076512056264343,2.2234299004828872,0.8057549258280794,
42,1000,25,1000,bbr,5565579264,5564985024,0.00010677055735127879,60.000084,742076196.2933252,3034,2.7427034105502583,4.155404990639866,0.796510978953629,
164,10,100,100,bbr,58006880,56193984,0.03125312031952072,60.000147,7734231.7177989585,366,0.2096261648790737,0.736224360551746,0.7916707544288197,
112,100,200,1000,bbr,521535488,520721152,0.001561420111837145,60.000054,69538002.48246443,5415,0.48870236182786836,2.067563927529247,0.7809630785519718,
452,500,50,1000,bbr,2707816448,2706618112,0.00044254698315504136,60.000093,361041633.4521348,3303,2.748780780641908,3.0336730322544985,0.7809109495447045,
152,100,75,1000,bbr,550633472,548216016,0.00439031792095632,60.000079,73417699.60002886,761,0.27148215055480984,2.4803278024717557,0.7775315029257606,
