,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
541,50,5,10000,cubic,352321536,351966216,0.0010085105895996094,60.000081,46976141.38220913,0,0.1006444339344548,2.030120404542673,,0.9650691700701932
257,20,10,20000,cubic,141819904,141819904,0.0,60.000311,18909222.520529933,0,0.18503190857742213,2.057006834715135,,0.9634748933310434
307,20,5,20000,cubic,142082048,142081488,3.941384628690037e-06,60.000309,18944175.50416282,0,0.06026141525224917,2.0064606947972714,,0.9632844321465074
549,50,5,50000,cubic,351010816,351006192,1.3173383238424198e-05,60.0002,46801286.12904624,0,0.10932933191632771,1.8640981069502385,,0.963160468497884
259,20,10,50000,cubic,140902400,140902120,1.98719113372093e-06,60.000631,18786789.092268046,0,0.0628728275397841,2.02760460513872,,0.9627786249554635
301,20,5,10000,cubic,142082048,142081488,3.941384628690037e-06,60.000204,18944208.656357236,0,0.05463538680672617,1.967813797435787,,0.9626796737461139
547,50,5,20000,cubic,351141888,351138712,9.044776794046286e-06,60.00015,46818801.35299662,0,0.10984425806926283,1.9610846637092485,,0.9612486985457953
309,20,5,50000,cubic,141426688,141426408,1.979824345458758e-06,60.000365,18856777.02127312,0,0.05421889224587037,1.93681109172791,,0.9591105096436541
251,20,10,10000,cubic,142082048,142081488,3.941384628690037e-06,60.000101,18944241.177194018,0,0.06470201257268962,1.959038497829979,,0.958241987346279
229,10,5,50000,cubic,72220672,72220392,3.877006295372051e-06,60.000731,9629305.61629324,0,0.0899052210117261,1.0427136973789821,,0.9567806479675274
221,10,5,10000,cubic,71827456,71827176,3.898230782390511e-06,60.000837,9576860.536128854,0,0.052719131268421,1.0290598356770142,,0.9565542550662908
227,10,5,20000,cubic,71827456,71827176,3.898230782390511e-06,60.00085,9576858.4611718,0,0.0401003065793309,1.0293938443885045,,0.9565542419063882
491,50,10,10000,cubic,348258304,348257744,1.6080018582988333e-06,60.00023,46434262.53532694,0,0.38521036432163835,2.0239968921987215,,0.9540396909680391
499,50,10,50000,cubic,348127232,348126952,8.043036403426205e-07,60.000202,46416807.99674641,0,0.11629954784944933,2.052701087046762,,0.9536806436497733
497,50,10,20000,cubic,347078656,347078096,1.6134671214123866e-06,60.000173,46277020.70125698,0,0.3868414417764041,2.055635426261517,,0.9501256525648034
179,10,10,50000,cubic,71827456,71827176,3.898230782390511e-06,60.000467,9576919.592975834,0,0.04133466636438742,0.985179013296209,,0.9478361461284072
171,10,10,10000,cubic,71041024,71040744,3.941384628690037e-06,60.001023,9471975.036158966,0,0.04848751529339502,1.0012171002143249,,0.9465941205620656
289,20,25,50000,cubic,139329536,139329256,2.0096241474600187e-06,60.000388,18577151.33442137,0,0.1930847963342906,1.9618740158235706,,0.9463503147549737
177,10,10,20000,cubic,71827456,71827176,3.898230782390511e-06,60.000451,9576922.146801863,0,0.0447654099652486,1.0314153991658184,,0.9437786220816671
527,50,25,20000,cubic,341835776,341835496,8.19106774827454e-07,60.000251,45577912.7990648,0,0.14871546004366606,1.9713499630001907,,0.9401593508410716
521,50,25,10000,cubic,341835776,341835496,8.19106774827454e-07,60.000262,45577904.4431506,0,0.1659301440532611,2.127832493800069,,0.9401593433397671
287,20,25,20000,cubic,139067392,139067112,2.0134123173892554e-06,60.000179,18542263.615580212,0,0.09078001194515875,1.9549223347764977,,0.9395803814352748
281,20,25,10000,cubic,138018816,138018816,0.0,60.000612,18402321.09632482,0,0.17655499774782688,1.9693143320877742,,0.9379105242789896
201,10,25,10000,cubic,71041024,71017576,0.0003300628099054428,60.000109,9472119.32564989,0,0.0663510629114829,0.9229581546753478,,0.9264850779856606
529,50,25,50000,cubic,336330752,336330472,8.32513822583788e-07,60.000257,44843908.18525994,0,0.43816663406629486,1.9775405519647804,,0.9240194238044538
209,10,25,50000,cubic,70123520,70123240,3.992954147196261e-06,60.000761,9349684.0815069,0,0.122471965037788,0.9245842842890986,,0.9232647353129113
207,10,25,20000,cubic,69861376,69861376,0.0,60.000932,9314705.444908757,0,0.110781676688713,0.9522199382830174,,0.9213595268336799
223,10,5,1000,cubic,69468160,67755560,0.02465302089475236,60.001055,9262258.4719552,257,0.029719031696035382,0.8494302929178216,,0.9171992030112786
173,10,10,1000,cubic,69730304,66816512,0.04178659539473684,60.000242,9297336.367409986,244,0.0397888516068034,0.8906981939984525,,0.9079373040409194
291,20,50,10000,cubic,134610944,134610944,0.0,60.000528,17947967.92454893,0,0.12824963097771994,1.905000314181868,,0.9048466113880608
299,20,50,50000,cubic,134217728,134217168,4.172325134277344e-06,60.000356,17895590.886160742,0,0.12568792031731021,1.8788971443550808,,0.9014094667824151
217,10,50,20000,cubic,69599232,69598672,8.04606579566855e-06,60.000161,9279872.69900826,0,0.12472386411228197,1.0200353738752217,,0.8984784875720853
219,10,50,50000,cubic,69730304,69730024,4.015470805921052e-06,60.000283,9297330.0142601,0,0.11562609328615538,1.0441389600470616,,0.89300329931775
297,20,50,20000,cubic,133300224,133300224,0.0,60.000444,17773231.67808558,0,0.12526196877198023,1.9060547282526055,,0.8921057203565215
203,10,25,1000,cubic,68288512,66209800,0.03044014196707054,60.000299,9105089.55963703,256,0.10708564730370371,0.821174903463889,,0.891647461318497
211,10,50,10000,cubic,68681728,68681728,0.0,60.00082,9157438.581672717,0,0.11065685529923984,1.049264027001738,,0.8911568150001358
141,100,5,10000,cubic,643694592,643694032,8.699777922011811e-07,60.00015,85825731.0356724,0,0.19700809666340457,2.1869086754445837,,0.890965267292666
317,20,75,20000,cubic,132775936,132775656,2.1088158625370187e-06,60.000454,17703324.178180385,0,0.26379279763443825,1.9114592697968835,,0.8901577143131288
239,10,75,50000,cubic,68550656,68550096,8.169141371892926e-06,60.000449,9140019.0688573,0,0.150675877351053,1.0299584887788977,,0.8849417965311355
237,10,75,20000,cubic,67895296,67895016,4.123997043918919e-06,60.000856,9052576.98323504,0,0.1521431088448065,1.0151881479395153,,0.8839594033764511
91,100,10,10000,cubic,638844928,638427344,0.0006536547160314937,60.000088,85179198.80384175,0,0.732995174007075,2.1586818142771667,,0.8829717360974402
147,100,5,20000,cubic,636354560,636354000,8.800125514933059e-07,60.000154,84847056.89255397,0,0.2532883020063852,2.150346977675911,,0.8808056254756101
149,100,5,50000,cubic,635174912,635174632,4.4082345620099053e-07,60.00015,84689776.5422253,0,0.7181050788101573,2.197750402883656,,0.8780576012885369
129,100,25,50000,cubic,629669888,629669888,0.0,60.000223,83955673.03141524,0,0.21674761279631025,2.253975014605794,,0.8725024591750966
213,10,50,1000,cubic,66060288,64407040,0.025026351686507936,60.001036,8807886.317162924,260,0.1254059731434084,0.8336043452844012,,0.8645599915987169
311,20,75,10000,cubic,126484480,126484480,0.0,60.000604,16864427.564762514,0,0.1672837899674301,1.771342958177772,,0.853983265188717
303,20,5,1000,cubic,127533056,124833528,0.02116728074014003,60.000448,17004280.501372255,118,0.09897254815900397,1.7097370396246814,,0.8535080175745652
99,100,10,50000,cubic,614465536,614440360,4.0972192132839166e-05,60.000095,81928608.41303667,0,0.714289045321743,2.18498804888974,,0.8491215402240965
97,100,10,20000,cubic,612106240,612105960,4.574369312098501e-07,60.000131,81613987.14279473,0,0.6849269551983922,2.125748170032978,,0.8470888419196271
161,10,100,10000,cubic,65273856,65273856,0.0,60.00075,8703072.011599855,0,0.2381402164256986,0.9373687484018478,,0.8426402502583255
231,10,75,10000,cubic,65011712,65011712,0.0,60.000809,8668111.391631404,0,0.15191972838351808,0.982273218180105,,0.8378383699691652
319,20,75,50000,cubic,123994112,123994112,0.0,60.000569,16532391.484487422,0,0.2565951098843095,1.844050170270055,,0.8349523313755056
249,20,100,50000,cubic,123863040,123862760,2.2605613425925925e-06,60.0005,16514934.375546869,0,0.2954870867459548,1.6731714146299475,,0.8340695680512911
247,20,100,20000,cubic,123600896,123600616,2.265355746288441e-06,60.000181,16480069.751789583,0,0.3000916141808759,1.8194745305309477,,0.8323056774009006
539,50,50,50000,cubic,302776320,302499192,0.0009152895444399351,60.00012,40370095.25980948,0,0.17311428225218992,2.040057817169615,,0.8312342990120176
267,20,150,20000,cubic,123207680,123207400,2.2725856050531914e-06,60.000082,16427668.215520106,0,0.31092148150534077,1.651981644907825,,0.8303909483867975
167,10,100,20000,cubic,63832064,63831784,4.386510202772074e-06,60.000798,8510828.67264532,0,0.19219871388524165,0.9679297119263455,,0.8268257000662983
531,50,50,10000,cubic,299237376,299237096,9.35711988063951e-07,60.000249,39898151.222672425,0,0.4116035542601022,2.0464064558882535,,0.8235926788960585
537,50,50,20000,cubic,298582016,298581736,9.37765789618086e-07,60.000255,39810766.27091,0,0.162295054219139,2.1139765106477357,,0.8232746510585751
169,10,100,50000,cubic,63963136,63962856,4.377521452356557e-06,60.000742,8528312.666533357,0,0.18984824838067763,0.989778233082483,,0.8215496205399999
253,20,10,1000,cubic,121896960,119742360,0.017675584362399195,60.000957,16252668.76993312,121,0.10314089404541543,1.5777673701472257,,0.8193834572343092
233,10,75,1000,cubic,61079552,59253608,0.02989452181967543,60.00103,8143800.464758689,245,0.16748027693588055,0.8232370562145276,,0.7952218647155798
121,100,25,10000,cubic,571211776,571211776,0.0,60.000233,76161274.37371784,0,0.20510081734511765,2.2160677295095983,,0.790925159895463
283,20,25,1000,cubic,118358016,115053736,0.02791766972504845,60.000091,15781044.865415288,122,0.13137600353295445,1.5809455961203238,,0.7872716445337758
127,100,25,20000,cubic,562298880,562259504,7.002681563228438e-05,60.00012,74973034.0539319,0,0.1938713783201784,2.139139293310572,,0.7787255980564916
163,10,100,1000,cubic,60030976,57117808,0.04852774674194869,60.000415,8004074.771816162,292,0.18579981805424928,0.7902994317921226,,0.7633329629914265
