,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
549,50,5,50000,cubic,354680832,354482176,0.0005600979305247597,60.000108,47290692.47675354,0,0.37529736365672767,1.9928407035479256,,0.9733911056583063
497,50,10,20000,cubic,352321536,352050200,0.0007701374235607329,60.000076,46976145.29688262,0,0.1682530715666566,2.0819305862403255,,0.9672828358974803
547,50,5,20000,cubic,351928320,351928040,7.956165619180633e-07,60.00017,46923643.04967803,0,0.12986696649739488,1.9708839247201058,,0.9659711426331253
301,20,5,10000,cubic,141426688,141426408,1.979824345458758e-06,60.000572,18856711.96601259,0,0.15155525571571457,2.0604094252291456,,0.9642233533998817
257,20,10,20000,cubic,141557760,141557760,0.0,60.000436,18874230.847255845,0,0.08147532919237445,2.06283013722684,,0.9630110779789458
541,50,5,10000,cubic,351141888,350786848,0.001011101244634192,60.000098,46818841.92922485,0,0.34658275178014686,2.0346769158925277,,0.9616841462857159
259,20,10,50000,cubic,141682064,141207120,0.0033521815436003246,60.002886,18890033.256067052,0,0.08341575509203587,2.06517249891637,,0.9587848097040546
221,10,5,10000,cubic,71894536,71894536,0.0,60.001085,9585764.790753366,0,0.0779494050099774,1.13978596626889,,0.9582544561522736
309,20,5,50000,cubic,141295616,141295616,0.0,60.000383,18839295.20916558,0,0.15749734827593284,2.0755638242208323,,0.9582072168623604
491,50,10,10000,cubic,349306880,349137184,0.0004858077802532833,60.000117,46574159.847054966,0,0.3732278149331931,2.047605339383067,,0.9576003418686536
307,20,5,20000,cubic,141950976,141918560,0.0002283605292012927,60.000104,18926763.99360908,0,0.0716978638621607,2.1154930840749153,,0.9569049145128259
251,20,10,10000,cubic,141033472,141033192,1.9853443018122677e-06,60.00027,18804378.313630924,0,0.14655866445410762,2.0553900618182177,,0.954808383658264
499,50,10,50000,cubic,347865088,347864808,8.049097470798794e-07,60.000238,46381827.75208325,0,0.141513519964895,2.063068252414518,,0.9546768409577929
229,10,5,50000,cubic,72220672,72220672,0.0,60.000463,9629348.62685976,0,0.10476887351036646,1.1116532901961587,,0.9546016878429463
227,10,5,20000,cubic,72220672,72220392,3.877006295372051e-06,60.000379,9629362.107862685,0,0.0436560334410914,1.1360120105573945,,0.9485562557062621
177,10,10,20000,cubic,71958528,71958248,3.891130179872496e-06,60.000348,9594414.752394436,0,0.05268852987776077,1.170350436504851,,0.9459955238784836
171,10,10,10000,cubic,71041024,71040744,3.941384628690037e-06,60.00102,9471975.50974967,0,0.05267461358764866,1.1766604776566179,,0.9438625048697932
179,10,10,50000,cubic,71696384,71696104,3.905357346892139e-06,60.000484,9559440.753844585,0,0.0519371798624311,1.1473847894289493,,0.9433759520673168
289,20,25,50000,cubic,138946232,138946232,0.0,60.000294,18526073.488906574,0,0.15201249084051618,1.998954274664265,,0.9427429226518393
529,50,25,50000,cubic,342884352,342015272,0.002534615519579033,60.000079,45717853.40482635,0,0.16419254470142114,2.082739181920433,,0.9386442250659836
287,20,25,20000,cubic,138543104,138543104,0.0,60.000471,18472268.85935612,0,0.09631553920371223,1.998510748558489,,0.9355717815372957
281,20,25,10000,cubic,138543104,138542824,2.021031663907285e-06,60.000392,18472293.181017883,0,0.11357603774382927,2.0161520102350527,,0.933126562877368
209,10,25,50000,cubic,70778880,70778600,3.955982349537037e-06,60.000266,9437142.16200308,0,0.0748849064892887,1.1212469118223167,,0.9279382874675471
521,50,25,10000,cubic,338427904,337971504,0.0013485885608297832,60.000084,45123657.36021303,0,0.37003719805850976,2.0841544467908166,,0.9264445436917644
207,10,25,20000,cubic,70909952,70909672,3.948669997689464e-06,60.000153,9454636.157344466,0,0.0732260210238046,1.1234412069378004,,0.9259037989327003
201,10,25,10000,cubic,69730304,69730304,0.0,60.001039,9297212.86993047,0,0.07534642885380387,1.1376145107837208,,0.9254722195316787
527,50,25,20000,cubic,337641472,337640912,1.6585640285326086e-06,60.000182,45018726.37653,0,0.36504602150500426,2.05393936194084,,0.9249551675993757
223,10,5,1000,cubic,69599232,67111904,0.03573786561322975,60.001046,9279735.82327215,238,0.065188506484551,1.0181314843299083,,0.9177614604162628
173,10,10,1000,cubic,68419584,67397160,0.014943440755208334,60.001059,9122450.18875417,216,0.0475681263807556,1.0399139874305714,,0.9154156100650324
299,20,50,50000,cubic,133824512,133824232,2.092292329823702e-06,60.000567,17843099.64937498,0,0.15129284102913282,1.965617786279785,,0.9003534469298462
311,20,75,10000,cubic,132775936,132775656,2.1088158625370187e-06,60.000639,17703269.593512163,0,0.17961617142538744,1.9280132732530066,,0.8988470982222079
297,20,50,20000,cubic,133431296,133431016,2.0984582207760316e-06,60.000534,17790681.12960461,0,0.24293031408670918,1.9895668105319384,,0.897708020756481
219,10,50,50000,cubic,68419584,68419584,0.0,60.001063,9122449.580601597,0,0.12060099142469727,1.1199079607316356,,0.8907217651623388
149,100,5,50000,cubic,643170304,643170024,4.3534348252496435e-07,60.000181,85755781.8367248,0,0.6562679081590798,2.1815790290361523,,0.889593741661496
291,20,50,10000,cubic,133038080,133037800,2.1046605603448276e-06,60.000133,17738371.34661018,0,0.2276004786123173,1.8661995161990697,,0.8872391128519503
203,10,25,1000,cubic,66846720,64864608,0.029651596966911765,60.001038,8912741.809566695,240,0.0644949747977438,0.972414998387331,,0.8817515529109352
217,10,50,20000,cubic,68419584,68419584,0.0,60.000566,9122525.14417947,0,0.11477113321452909,1.1109910804381462,,0.8811714547993814
231,10,75,10000,cubic,68288512,68287952,8.200500839731287e-06,60.000252,9105096.691927226,0,0.16016293001531184,1.130377424069662,,0.8800689484739612
211,10,50,10000,cubic,68419584,68418328,1.835731710967433e-05,60.000272,9122569.84435004,0,0.12030939092459335,1.0992927947675786,,0.8773123092703706
97,100,10,20000,cubic,632291328,631713016,0.000914629023664231,60.000085,84305390.9673628,0,0.6980468757807134,2.218621801847604,,0.8729641693811075
91,100,10,10000,cubic,629800960,629800680,4.4458490504682624e-07,60.000194,83973189.8200196,0,0.7191139432167367,2.2551346634438456,,0.8723675137529502
141,100,5,10000,cubic,630587392,630214976,0.0005905858644252754,60.000085,84078199.82255025,0,0.23022531655106337,2.1736968549259066,,0.8706116408571433
147,100,5,20000,cubic,626524160,626523880,4.4691013990585774e-07,60.000231,83536233.0521694,0,0.6549495381798544,2.169287605700469,,0.8673560394637192
99,100,10,50000,cubic,623902720,623455008,0.0007175990513392858,60.000089,83186905.93942285,0,0.6336220174694784,2.166578298523421,,0.8620065411847361
237,10,75,20000,cubic,65929216,65928936,4.246979063121272e-06,60.000805,8790444.19487372,0,0.15798604106456346,1.0825424801692984,,0.8525429113465979
239,10,75,50000,cubic,66453504,66453224,4.213472324950691e-06,60.000348,8860415.809588304,0,0.16080654740183833,1.1290771799861596,,0.8521022875006435
121,100,25,10000,cubic,614203392,614026456,0.00028807395449877295,60.000097,81893653.20526065,0,0.2303743960800047,2.1811031111505548,,0.8507629673786907
