,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
0,1000,200,10000,bbr,862322688,861815048,0.0005886891381431448,60.000081,114976203.1821257,0,1.1909246509303062,1.2069593822195464
1,1000,200,10000,cubic,896663552,896662712,9.368062280733811e-07,60.000127,119554887.20882207,0,0.593002326178795,0.5477362001171754
2,1000,200,100,bbr,756154368,756154368,0.0,60.000138,100820350.51319382,27,0.631602762071349,1.8758250161319692
3,1000,200,100,cubic,484573184,483392104,0.0024373614533320935,60.000178,64609566.1916203,2025,0.5596433610903173,0.9438997651076935
4,1000,200,50000,bbr,869269504,869269504,0.0,60.000131,115902347.47987466,0,1.2081718784188082,1.2079560552253854
5,1000,200,50000,cubic,892993536,892992976,6.271042033612212e-07,60.000157,119065493.24529268,0,0.5792640822767453,0.573624505250027
6,1000,50,10000,bbr,3507355648,3507282688,2.0801996524533803e-05,60.000093,467646694.8809563,0,0.743873322173445,2.6493070330792357
7,1000,50,10000,cubic,3566731264,3566731264,0.0,60.000088,475563471.0402425,0,0.8707851903347333,2.33616217170911
8,1000,50,100,bbr,3512598528,3512395248,5.787168626861077e-05,60.000073,468345900.5791543,566,0.7333569473566082,2.6457571328300533
9,1000,50,100,cubic,1132593152,1130543376,0.0018098078700020251,60.00008,151012218.91704145,2084,0.4507047671904643,1.0556810606532308
10,1000,50,50000,bbr,3506962432,3506498792,0.00013220557932683324,60.000087,467594312.9215796,0,0.742759043644826,2.661457763341709
11,1000,50,50000,cubic,3569876992,3569022112,0.00023947043607266117,60.000081,475982956.35634226,0,1.125244702912409,2.4320160360676972
12,1000,5,10000,bbr,2657222656,2656427144,0.0002993772457132023,60.000093,354295804.97483563,0,0.537169125903929,3.1618594162242752
13,1000,5,10000,cubic,4521066496,4520667736,8.820042800803787e-05,60.000042,602808444.1674224,0,0.9572762595427655,3.4530660333174445
14,1000,5,100,bbr,6422921216,6420608656,0.00036004800965629656,60.000082,856388325.069289,365850,1.0948301674717023,2.1729557717682084
15,1000,5,100,cubic,650510336,646685488,0.005879765144884646,60.00008,86734595.8205389,4416,0.19971768653035132,2.0204028276743693
16,1000,5,50000,bbr,2639527936,2639057056,0.0001783955356477803,60.000076,351936612.3469577,0,0.51513784725721,3.263900288113173
17,1000,5,50000,cubic,4539547648,4538627888,0.0002026104958729139,60.000077,605272242.9672883,0,0.8778015247579443,3.284348353912278
18,100,200,10000,bbr,323616768,322573368,0.0032241839829510936,60.000096,43148833.36186662,0,0.44187852755642726,1.561996853427287
19,100,200,10000,cubic,384172032,384081976,0.00023441581504819175,60.000086,51222864.18056134,0,0.4398503141255802,1.856703472490236
20,100,200,100,bbr,541720576,540635560,0.0020029071223611784,60.000092,72229299.38174094,13436,0.464498682693742,1.714262442148642
