,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
0,1000,200,10000,bbr,861011968,860113368,0.0010436556440525575,60.000079,114801444.57809797,0,1.2494445008283335,1.1872787478740336
1,1000,200,10000,cubic,896270336,896270336,0.0,60.00015,119502412.71063489,0,0.5787989346893216,0.6092657024372754
2,1000,200,100,bbr,861274112,861273552,6.501995035002283e-07,60.000082,114836391.32359852,15,0.507817568951098,1.1406016703088169
3,1000,200,100,cubic,463470592,461969152,0.003239558293269231,60.000165,61795908.9945836,1265,0.5560745480142728,0.718057632948502
4,1000,200,50000,bbr,864944128,864154408,0.0009130300726199046,60.000128,115325637.70530623,0,0.8425570932819697,1.2176164968247263
5,1000,200,50000,cubic,897318912,897010368,0.00034385099419368976,60.00018,119642162.673512,0,0.5781766535322388,0.541838619436347
6,1000,50,10000,bbr,3503423488,3502959568,0.0001324190471374724,60.000079,467122516.6886864,0,0.727875941999019,2.677797441660689
7,1000,50,10000,cubic,3567648768,3567315712,9.335448124471876e-05,60.00012,475685551.028898,0,0.87753371988038,2.314388284037625
8,1000,50,100,bbr,3531341824,3530486664,0.0002421629065156169,60.000094,470844838.8764191,942,0.7371069528813625,2.634887447381793
9,1000,50,100,cubic,1167458304,1165767424,0.0014483429465588862,60.000117,155660803.66143286,1309,0.438609779564439,1.0891755497638538
10,1000,50,50000,bbr,3502505984,3501716544,0.00022539290542436944,60.000088,467000112.9331677,0,0.738092211378556,2.613078086432921
11,1000,50,50000,cubic,3566206976,3565938536,7.527325301267091e-05,60.000092,475493534.3765806,0,0.8883874770073715,2.4018275436903846
12,1000,5,10000,bbr,2667708416,2667469544,8.954201987268461e-05,60.000069,355694046.41851324,0,0.547210484912963,3.2509358358258953
13,1000,5,10000,cubic,4509401088,4509400528,1.2418500574061156e-07,60.000078,601252696.771494,0,0.9260658759357825,3.3594148826203716
14,1000,5,100,bbr,6424231936,6420362496,0.0006023194739150837,60.000079,856563130.3252118,366911,1.1086467999349563,2.3026200558251526
15,1000,5,100,cubic,649854976,646117872,0.005750673824185659,60.00008,86647214.60371387,6137,0.19517028842581244,2.008408487360363
16,1000,5,50000,bbr,2661154816,2659901736,0.0004708782790335788,60.000081,354820163.1261131,0,0.5367600942786442,3.002970754384018
17,1000,5,50000,cubic,4517003264,4517003264,0.0,60.00008,602266298.844935,0,1.2861366690733678,3.249241797284534
18,100,200,10000,bbr,317456384,316347544,0.0034928892782953138,60.000076,42327464.25187861,0,0.497052036138779,1.83478936779585
19,100,200,10000,cubic,390987776,390436976,0.0014087396942046597,60.000084,52131630.48238399,0,0.4350248613124506,1.995008083401674
20,100,200,100,bbr,552992768,552828632,0.00029681400824395593,60.00017,73732160.15887955,10669,0.4515132482096781,1.7727638385080433
21,100,200,100,cubic,20454448,17788680,0.1303270564915758,60.001044,2727212.279839664,386,0.34195374241114,0.16966433288786617
22,100,200,50000,bbr,314703872,314183760,0.0016527028939764682,60.000164,41960401.57490236,0,0.49562888976049846,1.6860658739268368
23,100,200,50000,cubic,392298496,392298216,7.137422214333445e-07,60.000099,52306379.82780662,0,0.42397639226398176,1.6407258934607496
24,100,50,10000,bbr,217448448,217262544,0.0008549336714511754,60.000227,28993016.709753446,0,0.23780882008022364,1.9837732143682822
25,100,50,10000,cubic,502398976,502398416,1.1146519534307332e-06,60.00013,66986384.99616584,0,0.22856530438810665,2.096614952770491
26,100,50,100,bbr,676200448,672478712,0.005503894608481537,60.00008,90159939.52008064,15713,0.2744579467179642,1.9418976279741904
27,100,50,100,cubic,30849640,28166496,0.0869748885238207,60.001051,4113213.2835473167,487,0.09646075311244642,0.31046071893139515
28,100,50,50000,bbr,222298112,221715736,0.0026197973287330483,60.000148,29639675.15546795,0,0.2862505947635559,1.9618304752535909
29,100,50,50000,cubic,498597888,497517120,0.0021676144765378547,60.000157,66479544.44519203,0,0.6360128849700404,2.068121280662178
30,100,5,10000,bbr,85590016,85301024,0.0033764685825038287,60.000228,11411958.767890016,0,0.0709746277534886,0.9191024751783556
31,100,5,10000,cubic,636747776,636747776,0.0,60.000214,84899400.6588043,0,0.183314663598649,2.0984691257815524
32,100,5,100,bbr,606917616,605213320,0.0028081175353460164,60.000087,80922231.4627644,13235,0.20075966086830188,2.14422808400526
33,100,5,100,cubic,107198336,106703120,0.004619623946401556,60.000215,14293060.24986744,1095,0.10182016074503422,1.2987962354001816
34,100,5,50000,bbr,76283904,76020088,0.0034583442399591926,60.000226,10171148.88867252,0,0.06042309562078588,0.8884317178709168
35,100,5,50000,cubic,646184960,646184400,8.66624936612576e-07,60.000149,86157780.7081779,0,0.74414217848083,2.123697109730829
36,10,200,10000,bbr,23855104,21885072,0.08258324927026099,60.000196,3180670.143144199,1,0.35326874156641147,0.3084038496330489
37,10,200,10000,cubic,52953088,52952528,1.0575398360148514e-05,60.000833,7060313.712644623,0,0.358549953734588,0.7245002835438794
38,10,200,100,bbr,56623104,53564416,0.054018373842592594,60.000869,7549637.856078384,665,0.34526008423116517,0.6432831395425198
39,10,200,100,cubic,16559328,15421200,0.06873032528856243,60.000986,2207874.117268673,188,0.3394732824030763,0.20139366789257485
40,10,200,50000,bbr,22937600,22245624,0.030167759486607142,60.00104,3058293.6562432917,0,0.34305706907272326,0.34084915334933913
41,10,200,50000,cubic,52953088,52952528,1.0575398360148514e-05,60.000751,7060323.361619257,0,0.351339507776356,0.7997103876124768
42,10,50,10000,bbr,7051760,4842112,0.313347022587269,60.001026,940218.588928796,0,0.0905493461545879,0.09205019175385436
43,10,50,10000,cubic,69599232,69598672,8.04606579566855e-06,60.000422,9279832.33184593,0,0.10868040464630821,0.9092086298323955
44,10,50,100,bbr,48605016,47825992,0.01602764620013704,60.000249,6480641.905336093,113,0.0928380301779909,0.630025738822929
45,10,50,100,cubic,24277168,23742856,0.02200882738876297,60.000413,3236933.4524414022,89,0.1083161623999598,0.32870164894795645
46,10,50,50000,bbr,8131968,5718152,0.2968304843304843,60.001053,1084243.37152883,0,0.0912497297888451,0.10786489304934792
47,10,50,50000,cubic,68812800,68812240,8.138020833333333e-06,60.00034,9174988.008401286,0,0.1092170749786656,0.912179060955387
48,10,5,10000,bbr,3786520,2311008,0.3896749521988528,60.001025,504860.708629561,0,0.015357710363645525,0.052431586187491455
49,10,5,10000,cubic,72220672,72220392,3.877006295372051e-06,60.000443,9629351.83661894,0,0.03582555495497347,0.98845009721754
50,10,5,100,bbr,36493944,35794560,0.01916438519223902,60.00042,4865825.139224025,343,0.026392164607669088,0.4480038905215544
51,10,5,100,cubic,36415752,36020448,0.01085530239770965,60.00036,4855404.467573195,106,0.028481412408819077,0.473077591596393
52,10,5,50000,bbr,3197184,2212544,0.3079710144927536,60.001022,426283.938963573,0,0.015237727627301375,0.0509887495682482
53,10,5,50000,cubic,72220672,72220392,3.877006295372051e-06,60.00055,9629334.66443224,0,0.0343042479571687,0.984393435895189
